funs,pkgs,in_multiple_pkgs,contents,urls
paste0,base,FALSE,show_in_excel.R,https://gist.githubusercontent.com/brshallo/c47169de43f4be62c655200620565697/raw/e92e41b66043e552e19e69dfd9d9f65fda96f4d9/show_in_excel.R
tempfile,base,FALSE,show_in_excel.R,https://gist.githubusercontent.com/brshallo/c47169de43f4be62c655200620565697/raw/e92e41b66043e552e19e69dfd9d9f65fda96f4d9/show_in_excel.R
write.csv,utils,FALSE,show_in_excel.R,https://gist.githubusercontent.com/brshallo/c47169de43f4be62c655200620565697/raw/e92e41b66043e552e19e69dfd9d9f65fda96f4d9/show_in_excel.R
file_show,fs,FALSE,show_in_excel.R,https://gist.githubusercontent.com/brshallo/c47169de43f4be62c655200620565697/raw/e92e41b66043e552e19e69dfd9d9f65fda96f4d9/show_in_excel.R
library,base,FALSE,funspotr-gists-cmparlettpelleriti-ex.R,https://gist.githubusercontent.com/brshallo/a4fb0906f74c7f616631db4337843120/raw/9317e3f32b440e2a7483e35d41c7e45ff4338243/funspotr-gists-cmparlettpelleriti-ex.R
github_gists,funspotr,FALSE,funspotr-gists-cmparlettpelleriti-ex.R,https://gist.githubusercontent.com/brshallo/a4fb0906f74c7f616631db4337843120/raw/9317e3f32b440e2a7483e35d41c7e45ff4338243/funspotr-gists-cmparlettpelleriti-ex.R
filter,dplyr,TRUE,funspotr-gists-cmparlettpelleriti-ex.R,https://gist.githubusercontent.com/brshallo/a4fb0906f74c7f616631db4337843120/raw/9317e3f32b440e2a7483e35d41c7e45ff4338243/funspotr-gists-cmparlettpelleriti-ex.R
str_detect_r_rmd,(unknown),FALSE,funspotr-gists-cmparlettpelleriti-ex.R,https://gist.githubusercontent.com/brshallo/a4fb0906f74c7f616631db4337843120/raw/9317e3f32b440e2a7483e35d41c7e45ff4338243/funspotr-gists-cmparlettpelleriti-ex.R
github_spot_funs,funspotr,FALSE,funspotr-gists-cmparlettpelleriti-ex.R,https://gist.githubusercontent.com/brshallo/a4fb0906f74c7f616631db4337843120/raw/9317e3f32b440e2a7483e35d41c7e45ff4338243/funspotr-gists-cmparlettpelleriti-ex.R
unnest_github_results,funspotr,FALSE,funspotr-gists-cmparlettpelleriti-ex.R,https://gist.githubusercontent.com/brshallo/a4fb0906f74c7f616631db4337843120/raw/9317e3f32b440e2a7483e35d41c7e45ff4338243/funspotr-gists-cmparlettpelleriti-ex.R
library,base,FALSE,custom-ggplot-and-labels.R,https://gist.githubusercontent.com/brshallo/78d0682d16b7eb09ee39caa4eba3fc06/raw/50856a8f1b3c8049b630b71e05b1ebf92a4d5267/custom-ggplot-and-labels.R
ggplot,ggplot,FALSE,custom-ggplot-and-labels.R,https://gist.githubusercontent.com/brshallo/78d0682d16b7eb09ee39caa4eba3fc06/raw/50856a8f1b3c8049b630b71e05b1ebf92a4d5267/custom-ggplot-and-labels.R
aes,ggplot,FALSE,custom-ggplot-and-labels.R,https://gist.githubusercontent.com/brshallo/78d0682d16b7eb09ee39caa4eba3fc06/raw/50856a8f1b3c8049b630b71e05b1ebf92a4d5267/custom-ggplot-and-labels.R
geom_point,ggplot,FALSE,custom-ggplot-and-labels.R,https://gist.githubusercontent.com/brshallo/78d0682d16b7eb09ee39caa4eba3fc06/raw/50856a8f1b3c8049b630b71e05b1ebf92a4d5267/custom-ggplot-and-labels.R
