funs,pkgs,relative_paths,urls,absolute_paths
library,base,find_in_files.R,NA,https://gist.githubusercontent.com/brshallo/246b02d652d35995b73c42ee88079c87/raw/dba7d678bc08cbf909a9770bbe3c0b9332079ecc/find_in_files.R
dir_ls,fs,find_in_files.R,NA,https://gist.githubusercontent.com/brshallo/246b02d652d35995b73c42ee88079c87/raw/dba7d678bc08cbf909a9770bbe3c0b9332079ecc/find_in_files.R
map,purrr,find_in_files.R,NA,https://gist.githubusercontent.com/brshallo/246b02d652d35995b73c42ee88079c87/raw/dba7d678bc08cbf909a9770bbe3c0b9332079ecc/find_in_files.R
grep,base,find_in_files.R,NA,https://gist.githubusercontent.com/brshallo/246b02d652d35995b73c42ee88079c87/raw/dba7d678bc08cbf909a9770bbe3c0b9332079ecc/find_in_files.R
readLines,base,find_in_files.R,NA,https://gist.githubusercontent.com/brshallo/246b02d652d35995b73c42ee88079c87/raw/dba7d678bc08cbf909a9770bbe3c0b9332079ecc/find_in_files.R
keep,purrr,find_in_files.R,NA,https://gist.githubusercontent.com/brshallo/246b02d652d35995b73c42ee88079c87/raw/dba7d678bc08cbf909a9770bbe3c0b9332079ecc/find_in_files.R
length,base,find_in_files.R,NA,https://gist.githubusercontent.com/brshallo/246b02d652d35995b73c42ee88079c87/raw/dba7d678bc08cbf909a9770bbe3c0b9332079ecc/find_in_files.R
library,base,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
tibble,dplyr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
cross_join,dplyr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
arrange,dplyr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
mutate,dplyr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
make_date,lubridate,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
filter,dplyr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
